hostname,serial,marque,modele,utilisateur,os,os_version,domaine,architecture,statut,remarques
LAPTOP-COMPTA-003,SN-DL-D10036,Dell,Latitude 7420,veronique.aubin,Windows 11 Pro,23H2,corp.demo.fr,x64,En service,
LAPTOP-COMPTA-004,SN-HP-D10037,HP,ProBook 450 G9,veronique.aubin,Windows 10 Pro,22H2,corp.demo.fr,x64,En service,
LAPTOP-PROD-001,SN-AS-D10038,ASUS,ZenBook 14,florian.guerin,Windows 11 Pro,23H2,corp.demo.fr,x64,En service,Chef de projet
LAPTOP-PROD-002,SN-DL-D10039,Dell,Latitude 5520,florian.guerin,Windows 11 Pro,23H2,corp.demo.fr,x64,En service,
LAPTOP-PROD-003,SN-LN-D10040,Lenovo,ThinkPad T14s,florian.guerin,Windows 10 Pro,22H2,corp.demo.fr,x64,En stock,
LAPTOP-PROD-004,SN-AC-D10041,Acer,Swift 3,manon.charpentier,Windows 11 Pro,23H2,corp.demo.fr,x64,En service,
LAPTOP-PROD-005,SN-HP-D10042,HP,EliteBook 840 G8,manon.charpentier,Windows 11 Pro,23H2,corp.demo.fr,x64,En service,
LAPTOP-PROD-006,SN-DL-D10043,Dell,XPS 15,manon.charpentier,Windows 11 Pro,23H2,corp.demo.fr,x64,En réparation,Charnière cassée
PC-STOCK-D01,SN-DL-D10044,Dell,OptiPlex 7090,,Windows 11 Pro,23H2,,x64,En stock,Lot neuf — non attribué
PC-STOCK-D02,SN-HP-D10045,HP,EliteDesk 800 G6,,Windows 11 Pro,23H2,,x64,En stock,
PC-STOCK-D03,SN-LN-D10046,Lenovo,ThinkCentre M720q,,Windows 11 Pro,23H2,,x64,En stock,
PC-STOCK-D04,SN-DL-D10047,Dell,Latitude 5520,,Windows 11 Pro,23H2,,x64,En stock,Réservé onboarding
PC-STOCK-D05,SN-HP-D10048,HP,ProBook 450 G9,,Windows 11 Pro,23H2,,x64,En stock,
PC-OLD-D01,SN-DL-D00001,Dell,Latitude 5490,romain.gillet,Windows 10 Pro,21H2,dev.demo.fr,x86,Retiré,Remplacé ThinkPad
PC-OLD-D02,SN-HP-D00002,HP,ProBook 430 G5,nadine.collet,Windows 10 Pro,21H2,rh.demo.fr,x86,Retiré,Don école
PC-OLD-D03,SN-LN-D00003,Lenovo,ThinkPad E480,marc.tessier,Windows 10 Pro,21H2,it.demo.fr,x86,Retiré,CPU trop lent
