hostname,serial,marque,modele,utilisateur,os,os_version,domaine,architecture,statut,remarques
PC-FONTAINE-01,SN-AP-1155E7,Apple,MacBook Air M2,isabelle.fontaine,macOS Sonoma,14.4,corp.entreprise.fr,arm64,En service,
PC-FONTAINE-02,SN-AP-1155E8,Apple,Mac Mini M2,isabelle.fontaine,macOS Sonoma,14.4,corp.entreprise.fr,arm64,En service,Bureau fixe
PC-FONTAINE-03,SN-DL-4820B4,Dell,XPS 15,isabelle.fontaine,Windows 11 Pro,23H2,corp.entreprise.fr,x64,Retiré,Don association
PC-HENRY-01,SN-HP-9910C3,HP,ProBook 450 G9,mathieu.henry,Windows 11 Pro,23H2,rh.entreprise.fr,x64,En service,
PC-HENRY-02,SN-AS-7762D6,ASUS,VivoBook 15,mathieu.henry,Windows 10 Pro,22H2,rh.entreprise.fr,x64,Retiré,Hors service
PC-MERCIER-01,SN-LN-3301D2,Lenovo,ThinkPad T14s,sarah.mercier,Ubuntu 22.04,22.04 LTS,dev.entreprise.fr,x64,En service,Lead dev
PC-MERCIER-02,SN-DL-4820B5,Dell,Precision 3560,sarah.mercier,Ubuntu 22.04,22.04 LTS,dev.entreprise.fr,x64,En service,
PC-MERCIER-03,SN-HP-9910C4,HP,ZBook Fury 15,sarah.mercier,Windows 11 Pro,23H2,dev.entreprise.fr,x64,En service,Tests performance
PC-STOCK-01,SN-DL-4820B6,Dell,OptiPlex 7090,,Windows 11 Pro,23H2,corp.entreprise.fr,x64,En stock,Nouveau lot non attribué
PC-STOCK-02,SN-HP-9910C5,HP,EliteDesk 800 G6,,Windows 11 Pro,23H2,,x64,En stock,
PC-STOCK-03,SN-LN-3301D3,Lenovo,ThinkCentre M720q,,Windows 11 Pro,23H2,,x64,En stock,
PC-STOCK-04,SN-AS-7762D7,ASUS,ZenBook 14,,Windows 11 Pro,23H2,,x64,En stock,Commande octobre
PC-OLD-01,SN-DL-2210X1,Dell,Latitude 5490,jean.dupont,Windows 10 Pro,22H2,corp.entreprise.fr,x86,Retiré,Ancien matériel — conservé archives
PC-OLD-02,SN-HP-7780X1,HP,ProBook 430 G5,marie.martin,Windows 10 Pro,21H2,rh.entreprise.fr,x86,Retiré,Remplacé T1 2024
PC-OLD-03,SN-LN-2890X1,Lenovo,ThinkPad E480,pierre.bernard,Ubuntu 22.04,22.04 LTS,dev.entreprise.fr,x86,Retiré,CPU insuffisant
